,state,Abbrev,Percent,value,fips
0,Alabama,AK,0.001,10,US01
1,Alaska,AL,0.001,7,US02
2,Arizona,AR,0.000,3,US04
3,Arkansas,AZ,0.007,54,US05
4,California,CA,0.247,1864,US06
5,Colorado,CO,0.018,135,US08
6,Connecticut,CT,0.008,59,US09
7,Delaware,DE,0.001,11,US10
8,District of Columbia,DC,0.010,75,US11
9,Florida,FL,0.021,155,US12
10,Georgia,GA,0.017,131,US13
11,Hawaii,HI,0.003,24,US15
12,Idaho,ID,0.001,6,US16
13,Illinois,IL,0.035,267,US17
14,Indiana,IN,0.003,21,US18
15,Iowa,IA,0.001,9,US19
16,Kansas,KS,0.002,18,US20
17,Kentucky,KY,0.002,16,US21
18,Louisiana,LA,0.003,24,US22
19,Maine,ME,0.000,2,US23
20,Maryland,MD,0.007,54,US24
21,Massachusetts,MA,0.024,183,US25
22,Michigan,MI,0.016,123,US26
23,Minnesota,MN,0.005,36,US27
24,Mississippi,MS,0.001,4,US28
25,Missouri,MO,0.004,31,US29
26,Montana,MT,0.001,6,US30
27,Nebraska,NE,0.001,7,US31
28,Nevada,NV,0.008,63,US32
29,New Hampshire,NH,0.001,10,US33
30,New Jersey,NJ,0.027,203,US34
31,New Mexico,NM,0.001,9,US35
32,New York,NY,0.327,2460,US36
33,North Carolina,NC,0.010,72,US37
34,North Dakota,ND,0.000,0,US38
35,Ohio,OH,0.008,63,US39
36,Oklahoma,OK,0.002,16,US40
37,Oregon,OR,0.007,55,US41
38,Pennsylvania,PA,0.014,107,US42
39,Rhode Island,RI,0.001,6,US44
40,South Carolina,SC,0.003,19,US45
41,South Dakota,SD,0.000,2,US46
42,Tennessee,TN,0.005,36,US47
43,Texas,TX,0.064,482,US48
44,Utah,UT,0.007,52,US49
45,Vermont,VA,0.015,110,US50
46,Virginia,VT,0.001,5,US51
47,Washington,WA,0.052,395,US53
48,West Virginia,WV,0.000,0,US54
49,Wisconsin,WI,0.004,29,US55
50,Wyoming,WY,0.000,3,US56
