salary,count
15000-20000,1
20000-25000,1
25000-30000,20
30000-35000,52
35000-40000,101
40000-45000,159
45000-50000,202
50000-55000,256
55000-60000,211
60000-65000,372
65000-70000,298
70000-75000,341
75000-80000,297
80000-85000,311
85000-90000,234
90000-95000,254
95000-100000,217
100000-105000,399
105000-110000,209
110000-115000,239
115000-120000,164
120000-125000,274
125000-130000,232
130000-135000,192
135000-140000,125
140000-145000,156
145000-150000,96
150000-155000,191
155000-160000,64
160000-165000,97
165000-170000,62
170000-175000,67
175000-180000,65
180000-185000,69
185000-190000,46
190000-195000,43
195000-200000,22
200000-205000,90
205000-210000,26
210000-215000,38
215000-220000,29
220000-225000,28
225000-230000,32
230000-235000,27
235000-240000,10
240000-245000,17
245000-250000,10
250000-255000,65
255000-260000,5
260000-265000,9
265000-270000,10
270000-275000,7
275000-280000,11
280000-285000,8
285000-290000,3
290000-295000,10
295000-300000,3
300000-305000,32
305000-310000,2
310000-315000,2
315000-320000,6
320000-325000,4
325000-330000,10
330000-335000,4
335000-340000,1
345000-350000,3
350000-355000,22
360000-365000,3
370000-375000,2
380000-385000,1
390000-395000,1
395000-400000,1
400000-405000,12
425000-430000,1
430000-435000,2
435000-440000,1
440000-445000,1
460000-465000,1
500000-505000,5
525000-530000,2
530000-535000,2
550000-555000,7
555000-560000,2
560000-565000,1
660000-665000,1
675000-680000,1
800000-805000,2
925000-930000,1
995000-1000000,2
1000000,1
