Profession,Num
"Health Technologists and Technicians, All Other",1
Accountants,1
"Vocational Education Teachers, Postsecondary",1
Actors,1
Agricultural and Food Science Technicians,1
Historians,1
Animal Breeders,1
"Human Resources Assistants, Except Payroll and Tim",1
"Assemblers and Fabricators, All Other",1
"Internists, General",1
Broadcast News Analysts,1
Interpreters and Translators,1
"Captains, Mates, and Pilots of Water Vessels",1
"Law Teachers, Postsecondary",1
Chemical Technicians,1
Librarians,1
"Child, Family, and School Social Workers",1
"Life Scientists, All Other",1
Commercial Pilots,1
Loan Officers,1
Compensation and Benefits Managers,1
"Mathematical Science Occupations, All Other",1
"Computer Science Teachers, Postsecondary",1
"Mechanical Engineers, R&D",1
"Computer Software Engineers, Systems Software",1
"Media and Communication Equipment Workers, All Oth",1
Computer Systems Engineers/Architects,1
Medical and Clinical Laboratory Technologists,1
Conservation Scientists,1
Merchandise Displayers and Window Trimmers,1
Dancers,1
Microbiologists,1
"Education Administrators, Postsecondary",1
Multi-Media Artists and Animators,1
Environmental Engineering Technicians,1
Nuclear Medicine Technologists,1
First-Line Supervisors of Construction Trades and,1
Optometrists,1
"First-Line Supervisors of Helpers, Laborers, and M",1
"Pediatricians, General",1
Fitness Trainers and Aerobics Instructors,1
"Plant and System Operators, All Other",1
"Foreign Language and Literature Teachers, Postseco",1
Producers,1
"Hairdressers, Hairstylists, and Cosmetologists",1
Proofreaders and Copy Markers,1
Anesthesiologists,1
Psychiatric Aides,1
Auditors,1
Real Estate Sales Agents,1
Cartographers and Photogrammetrists,1
Receptionists and Information Clerks,1
"Clinical, Counseling, and School Psychologists",1
"Recreation and Fitness Studies Teachers, Postsecon",1
Computer Programmers R & D,1
Recreational Therapists,1
Computer Support Specialists,1
Reservation and Transportation Ticket Agents and T,1
"Criminal Justice and Law Enforcement Teachers, Pos",1
Riggers,1
"Electronics Engineers, Except Computer, R&D",1
"Sales and Related Workers, All Other",1
First-Line Supervisors of Food Preparation and Ser,1
"Sales Representatives of Services, Except Advertis",1
"Food Preparation and Serving Related Workers, All",1
Set and Exhibit Designers,1
Adult Basic and Secondary Education and Literacy T,1
Shoe and Leather Workers and Repairers,1
"Camera Operators, Television, Video, and Motion Pi",1
"Social Work Teachers, Postsecondary",1
Community Health Workers,1
"Special Education Teachers, All Other",1
"Computer-Controlled Machine Tool Operators, Metal",1
Stock Clerks and Order Fillers,1
"Environmental Science Teachers, Postsecondary",1
Substitute teachers (OES only),1
Forest and Conservation Technicians,1
Surgeons,1
"Chemistry Teachers, Postsecondary",1
Survey Researchers,1
"Door-to-Door Sales Workers, News and Street Vendor",1
Teacher Assistants,1
Animal Trainers,1
Travel Agents,1
"First-Line Supervisors/Managers of Landscaping, La",1
"Treasurers, Controllers, and Chief Financial Offic",1
"Computer Software Engineers, Applications",1
Veterinary Technologists and Technicians,1
"Healthcare Practitioners and Technical Workers, Al",2
"Communications Teachers, Postsecondary",2
Musicians and Singers,2
Museum Technicians and Conservators,2
Credit Counselors,2
Urban and Regional Planners,2
Electrical and Electronic Engineering Technicians,2
"Dentists, General",2
"Electronics Engineers, Except Computer, Non R&D",2
Physical Therapist Aides,2
"Engineering Technicians, Except Drafters, All Othe",2
"Postsecondary Teachers, All Other",2
First-Line Supervisors of Production and Operating,2
"Production, Planning, and Expediting Clerks",2
Geographers,2
"Psychology Teachers, Postsecondary",2
"Healthcare Support Workers, All Other",2
"Purchasing Agents, Except Wholesale, Retail, and F",2
"Kindergarten Teachers, Except Special Education",2
Radio and Television Announcers,2
"Mathematical Science Teachers, Postsecondary",2
Real Estate Brokers,2
Mental Health Counselors,2
Recreation Workers,2
"Educational, Guidance, School, and Vocational Coun",2
Rehabilitation Counselors,2
Engineering Managers,2
"Religious Workers, All Other",2
"Food Processing Workers, All Other",2
"Social Sciences Teachers, Postsecondary, All Other",2
Childcare Workers,2
Athletic Trainers,2
Appraisers and Assessors of Real Estate,2
"Software Developers, Applications, Non R & D",2
"Electrical Engineers, R&D",2
"Software Developers, Applications, R&D",2
Actuaries,2
"Software Developers, Systems Software, Non R&D",2
"Community and Social Service Specialists, All Othe",2
"Special Education Teachers, Kindergarten and Eleme",2
"Claims Adjusters, Examiners, and Investigators",2
Statistical Assistants,2
"Bookkeeping, Accounting, and Auditing Clerks",2
"Therapists, All Other",2
"Office Clerks, General",3
"Social Scientists and Related Workers, All Other",3
"Legal Support Workers, All Other",3
"History Teachers, Postsecondary",3
Agricultural Engineers,3
Sociologists,3
"Agricultural Workers, All Other",3
Pharmacists,3
"Farmers, Ranchers, and Other Agricultural Managers",3
Photographers,3
"Artists and Related Workers, All Other",3
Hydrologists,3
"Computer Systems Analysts, Non R&D",3
"First-Line Supervisors of Landscaping, Lawn Servic",3
Financial Examiners,3
Speech-Language Pathologists,3
"Environmental Science and Protection Technicians,",3
"Preschool Teachers, Except Special Education",3
"Art, Drama, and Music Teachers, Postsecondary",3
Atmospheric and Space Scientists,3
Social and Human Service Assistants,3
Audio and Video Equipment Technicians,3
"Engineering Teachers, Postsecondary",3
Copy Writers,3
"Education Administrators, All Other",3
"Production Workers, All Other",3
"Separating, Filtering, Clarifying, Precipitating,",3
First-Line Supervisors of Office and Administrativ,3
Mathematicians,4
"Environmental Scientists and Specialists, Includin",4
Aerospace Engineering and Operations Technicians,4
"Middle School Teachers, Except Special and Career/",4
"Secretaries and Administrative Assistants, Except",4
Occupational Health and Safety Specialists,4
Self-Enrichment Education Teachers,4
Physicists,4
Insurance Underwriters,4
Mechanical Engineering Technicians,4
Farm and Home Management Advisors,4
